archipelago	群岛
aviary	鸟舍
anesthetic	麻醉药
allegory	寓言
appraise	估价
alcove	凹室
assumption	假定，设想；采取
ape	模仿
aseptic	抗菌的
aesthetic	审美的
amenable	有服从义务的，随时服从的
apiary	蜂房
audacious	大胆的；鲁莽的
ancillary	辅助的
amiss	出差错
atrocity	暴行
alimony	（离婚后的）生活费，抚养费
augury	占卜；预言
annuity	年金，养老金
awry	扭曲的；歪曲的
abate	减弱，减少
amputate	截肢，切除
affluence	富足，财富
apposite	合适的
avow	宣布
addle	搞混
accord	一致
apropos	关于
autocratic	独裁
abnegation	批判，自我牺牲
arrears	欠债
actuarial	保险精算的，精算
asperity	严酷，粗暴
accomplice	共犯，同伙
apocryphal	杜撰的
atavism	反祖；隔代遗传
allure	诱惑，引诱
arcane	秘密；谜
auroral	曙光的，极光的
analgesic	止痛的
astringent	收敛的
anthology	选集
aptitude	能力，才能
anathema	诅咒
annul	废除取消
attenuate	削弱
aristocracy	贵族
archaic	过时的
anemia	贫血
astute	机敏，狡猾
annals	记录，历史
apotheosis	神化，典范
abase	贬低
aberrant	不正常的
ambiguous	模棱两可
acoustics	声学的
accost	搭讪，邂逅
adroit	熟练，有技巧
ambivalence	矛盾的观点或情绪
ascetic	苦行；禁欲
anecdote	奇闻轶事
affinity	亲缘关系
acquire	获取
acetic	酸的
austere	严厉的；朴素的
aphasia	失声
aplomb	沉着，垂直
anoint	神圣化
abortive	不成功的，失败
animated	活跃的，有生气的
adept	擅长于
astral	关于星的
ascribe	归因于；指派
alloy	合金
amalgamate	结合，整合
abduction	绑架
acidulous	酸的；尖锐，刻薄
antecedents	祖先。先例
artless	朴实
abysmal	无底的
acme	顶点
adventitious	偶然
astigmatism	散光
appease	平静，安抚
amenities	令人愉快的，礼貌的
append	追加，附上
arduous	努力的
asylum	庇护所
ashen	灰色
apologist	辩护者
alchemy	炼金术士
adjunct	无用的附加物
abrasive	摩擦的，粗糙的，研磨剂
absolute	坚决
auditory	听觉的
affiliation	联合，加入
asymmetric	不对称
acrophobia	恐高症
aquatic	与水有关系的
atrophy	萎缩，变得没用
antiquated	过时的，陈旧的
advocate	辩护
accrue	增加
accommodate	招待，食宿，适应
asinine	愚蠢
authenticate	鉴别
avid	贪婪
appropriate	获得；挪用，据为己有
abstract	抽象的
atone	补偿；偿还
abominable	讨厌的
askew	歪斜
asunder	分裂，分开
apprenticeship	学徒身份
acerbity	尖酸的（语气，脾气）
agent	方法，工具；代表
arboretum	植物园
anthem	圣歌，赞美诗
abridge	删节，节选
acute	尖锐，敏锐，急性
antithesis	对立面
agglomeration	聚集，累积
adapt	改变
artisan	工匠
assurance	担保，保证；确定；自信
assimilate	吸收；同化
alimentary	营养的
ambience	环境
